"","Date","country","cases"
"158",2003-07-06,"Argentina",325
"159",2003-07-06,"Bolivia",480
"160",2003-07-06,"Brazil",256
"161",2003-07-06,"Chile",4
"162",2003-07-06,"Peru",371
"163",2003-07-06,"Romania",545
"164",2003-07-06,"Uruguay",205
"165",2003-07-13,"Argentina",307
"166",2003-07-13,"Bolivia",475
"167",2003-07-13,"Brazil",272
"168",2003-07-13,"Chile",6
"169",2003-07-13,"Peru",441
"170",2003-07-13,"Romania",541
"171",2003-07-13,"Uruguay",199
"172",2003-07-20,"Argentina",239
"173",2003-07-20,"Bolivia",523
"174",2003-07-20,"Brazil",260
"175",2003-07-20,"Chile",4
"176",2003-07-20,"Peru",394
"177",2003-07-20,"Romania",528
"178",2003-07-20,"Uruguay",189
"179",2003-07-27,"Argentina",229
"180",2003-07-27,"Bolivia",520
"181",2003-07-27,"Brazil",225
"182",2003-07-27,"Chile",2
"183",2003-07-27,"Peru",382
"184",2003-07-27,"Romania",522
"185",2003-07-27,"Uruguay",173
"186",2003-08-03,"Argentina",235
"187",2003-08-03,"Bolivia",566
"188",2003-08-03,"Brazil",223
"189",2003-08-03,"Chile",3
"190",2003-08-03,"Peru",388
"191",2003-08-03,"Romania",510
"192",2003-08-03,"Uruguay",158
"193",2003-08-10,"Argentina",225
"194",2003-08-10,"Bolivia",557
"195",2003-08-10,"Brazil",234
"196",2003-08-10,"Chile",1
"197",2003-08-10,"Peru",418
"198",2003-08-10,"Romania",509
"199",2003-08-10,"Uruguay",178
"200",2003-08-17,"Argentina",201
"201",2003-08-17,"Bolivia",595
"202",2003-08-17,"Brazil",262
"203",2003-08-17,"Chile",0
"204",2003-08-17,"Peru",383
"205",2003-08-17,"Romania",496
"206",2003-08-17,"Uruguay",184
"207",2003-08-24,"Argentina",192
"208",2003-08-24,"Bolivia",578
"209",2003-08-24,"Brazil",264
"210",2003-08-24,"Chile",1
"211",2003-08-24,"Peru",468
"212",2003-08-24,"Romania",502
"213",2003-08-24,"Uruguay",212
"214",2003-08-31,"Argentina",224
"215",2003-08-31,"Bolivia",641
"216",2003-08-31,"Brazil",247
"217",2003-08-31,"Chile",2
"218",2003-08-31,"Peru",510
"219",2003-08-31,"Romania",500
"220",2003-08-31,"Uruguay",214
"221",2003-09-07,"Argentina",210
"222",2003-09-07,"Bolivia",625
