"","Date","country","cases"
"160",2003-05-18,"Venezuela",0.202
"161",2003-05-25,"Argentina",0.039
"162",2003-05-25,"Bolivia",0.064
"163",2003-05-25,"Brazil",0.071
"164",2003-05-25,"India",0.015
"165",2003-05-25,"Indonesia",0.062
"166",2003-05-25,"Mexico",0.074
"167",2003-05-25,"Philippines",0.055
"168",2003-05-25,"Singapore",0.175
"169",2003-05-25,"Venezuela",0.177
"170",2003-06-01,"Argentina",0.034
"171",2003-06-01,"Bolivia",0.058
"172",2003-06-01,"Brazil",0.08
"173",2003-06-01,"India",0.031
"174",2003-06-01,"Indonesia",0.082
"175",2003-06-01,"Mexico",0.079
"176",2003-06-01,"Philippines",0.062
"177",2003-06-01,"Singapore",0.161
"178",2003-06-01,"Venezuela",0.192
"179",2003-06-08,"Argentina",0.039
"180",2003-06-08,"Bolivia",0.042
"181",2003-06-08,"Brazil",0.062
"182",2003-06-08,"India",0.05
"183",2003-06-08,"Indonesia",0.069
"184",2003-06-08,"Mexico",0.088
"185",2003-06-08,"Philippines",0.059
"186",2003-06-08,"Singapore",0.15
"187",2003-06-08,"Venezuela",0.186
"188",2003-06-15,"Argentina",0.039
"189",2003-06-15,"Bolivia",0.047
"190",2003-06-15,"Brazil",0.036
"191",2003-06-15,"India",0.094
"192",2003-06-15,"Indonesia",0.055
"193",2003-06-15,"Mexico",0.074
"194",2003-06-15,"Philippines",0.059
"195",2003-06-15,"Singapore",0.163
"196",2003-06-15,"Venezuela",0.178
"197",2003-06-22,"Argentina",0.039
"198",2003-06-22,"Bolivia",0.039
"199",2003-06-22,"Brazil",0.073
"200",2003-06-22,"India",0.165
"201",2003-06-22,"Indonesia",0.055
"202",2003-06-22,"Mexico",0.056
"203",2003-06-22,"Philippines",0.058
"204",2003-06-22,"Singapore",0.143
"205",2003-06-22,"Venezuela",0.16
"206",2003-06-29,"Argentina",0.031
"207",2003-06-29,"Bolivia",0.038
"208",2003-06-29,"Brazil",0.056
"209",2003-06-29,"India",0.17
"210",2003-06-29,"Indonesia",0.047
"211",2003-06-29,"Mexico",0.071
"212",2003-06-29,"Philippines",0.058
"213",2003-06-29,"Singapore",0.132
"214",2003-06-29,"Venezuela",0.172
"215",2003-07-06,"Argentina",0.034
"216",2003-07-06,"Bolivia",0.029
"217",2003-07-06,"Brazil",0.018
"218",2003-07-06,"India",0.195
"219",2003-07-06,"Indonesia",0.1
"220",2003-07-06,"Mexico",0.086
"221",2003-07-06,"Philippines",0.056
"222",2003-07-06,"Singapore",0.12
"223",2003-07-06,"Venezuela",0.159
"224",2003-07-13,"Argentina",0.036
"225",2003-07-13,"Bolivia",0.023
"226",2003-07-13,"Brazil",0.015
"227",2003-07-13,"India",0.174
